Date,Open,High,Low,Close,
08/28/2019,"2,861.28","2,890.03","2,853.05","2,887.94",
08/29/2019,"2,910.37","2,930.50","2,905.67","2,924.58",
08/30/2019,"2,937.09","2,940.43","2,913.32","2,926.46",
09/03/19,"2,909.01","2,914.39","2,891.85","2,906.27",
09/04/19,"2,924.67","2,938.84","2,921.86","2,937.78",
09/05/19,"2,960.60","2,985.86","2,960.60","2,976.00",
09/06/19,"2,980.33","2,985.03","2,972.51","2,978.71",
09/09/19,"2,988.43","2,989.43","2,969.39","2,978.43",
09/10/19,"2,971.01","2,979.39","2,957.01","2,979.39",
09/11/19,"2,981.41","3,000.93","2,975.31","3,000.93",
09/12/19,"3,009.08","3,020.74","3,000.92","3,009.57",
09/13/2019,"3,012.21","3,017.33","3,002.90","3,007.39",
09/16/2019,"2,996.41","3,002.19","2,990.67","2,997.96",
09/17/2019,"2,995.67","3,006.21","2,993.73","3,005.70",
09/18/2019,"3,001.50","3,007.83","2,978.57","3,006.73",
09/19/2019,"3,010.36","3,021.99","3,003.16","3,006.79",
09/20/2019,"3,008.42","3,016.37","2,984.68","2,992.07",
09/23/2019,"2,983.50","2,999.15","2,982.23","2,991.78",
09/24/2019,"3,002.43","3,007.98","2,957.73","2,966.60",
09/25/2019,"2,968.35","2,989.82","2,952.86","2,984.87",
09/26/2019,"2,985.73","2,987.28","2,963.71","2,977.62",
09/27/2019,"2,985.47","2,987.31","2,945.53","2,961.79",
09/30/2019,"2,967.07","2,983.85","2,967.07","2,976.74",
10/01/19,"2,983.69","2,992.53","2,938.70","2,940.25",
10/02/19,"2,924.78","2,924.78","2,874.93","2,887.61",
10/03/19,"2,885.38","2,911.13","2,855.94","2,910.63",
10/04/19,"2,918.56","2,953.74","2,918.56","2,952.01",
10/07/19,"2,944.23","2,959.75","2,935.68","2,938.79",
10/08/19,"2,920.40","2,925.47","2,892.66","2,893.06",
10/09/19,"2,911.10","2,929.32","2,907.41","2,919.40",
10/10/19,"2,918.55","2,948.46","2,917.12","2,938.13",
10/11/19,"2,963.07","2,993.28","2,963.07","2,970.27",
10/14/2019,"2,965.81","2,972.84","2,962.94","2,966.15",
10/15/2019,"2,973.61","3,003.28","2,973.61","2,995.68",
10/16/2019,"2,989.68","2,997.54","2,985.20","2,989.69",
10/17/2019,"3,000.77","3,008.29","2,991.79","2,997.95",
10/18/2019,"2,996.84","3,000.00","2,976.31","2,986.20",
10/21/2019,"2,996.48","3,007.33","2,995.35","3,006.72",
10/22/2019,"3,010.73","3,014.57","2,995.04","2,995.99",
10/23/2019,"2,994.01","3,004.78","2,991.21","3,004.52",
10/24/2019,"3,014.78","3,016.07","3,000.42","3,010.29",
10/25/2019,"3,003.32","3,027.39","3,001.94","3,022.55",
10/28/2019,"3,032.12","3,044.08","3,032.12","3,039.42",
10/29/2019,"3,035.39","3,047.87","3,034.81","3,036.89",
10/30/2019,"3,039.74","3,050.10","3,025.96","3,046.77",
10/31/2019,"3,046.90","3,046.90","3,023.19","3,037.56",
11/01/19,"3,050.72","3,066.95","3,050.72","3,066.91",
11/04/19,"3,078.96","3,085.20","3,074.87","3,078.27",
11/05/19,"3,080.80","3,083.95","3,072.15","3,074.62",
11/06/19,"3,075.10","3,078.34","3,065.89","3,076.78",
11/07/19,"3,087.02","3,097.77","3,080.23","3,085.18",
11/08/19,"3,081.25","3,093.09","3,073.58","3,093.08",
11/11/19,"3,080.33","3,088.33","3,075.82","3,087.01",
11/12/19,"3,089.28","3,102.61","3,084.73","3,091.84",
11/13/2019,"3,084.18","3,098.06","3,078.80","3,094.04",
11/14/2019,"3,090.75","3,098.20","3,083.26","3,096.63",
11/15/2019,"3,107.92","3,120.46","3,104.60","3,120.46",
11/18/2019,"3,117.91","3,124.17","3,112.06","3,122.03",
11/19/2019,"3,127.45","3,127.64","3,113.47","3,120.18",
11/20/2019,"3,114.66","3,118.97","3,091.41","3,108.46",
11/21/2019,"3,108.49","3,110.11","3,094.55","3,103.54",
11/22/2019,"3,111.41","3,112.87","3,099.26","3,110.29",
11/25/2019,"3,117.44","3,133.83","3,117.44","3,133.64",
