Date,Open,High,Low,Close
05/03/85,180.08,180.21,179.08,180.08
05/06/85,179.99,180.49,179.87,179.99
05/07/85,180.76,181.14,179.89,180.76
05/08/85,180.62,180.75,180,180.62
05/09/85,181.92,181.92,180.67,181.92
05/10/85,184.28,184.66,182.03,184.28
05/13/1985,184.61,184.61,184.24,184.61
05/14/1985,183.87,185.12,183.75,183.87
05/15/1985,184.54,185.42,183.92,184.54
05/16/1985,185.66,185.66,184.66,185.66
05/17/1985,187.42,187.92,185.55,187.42
05/20/1985,189.72,189.97,187.47,189.72
05/21/1985,189.64,189.77,188.89,189.64
05/22/1985,188.56,189.56,187.81,188.56
05/23/1985,187.6,188.48,187.48,187.6
05/24/1985,188.29,188.29,187.29,188.29
05/28/1985,187.86,188.86,187.49,187.86
05/29/1985,187.68,187.81,187.18,187.68
05/30/1985,187.75,188,187.13,187.75
05/31/1985,189.55,189.55,187.55,189.55
06/03/85,189.32,190.32,188.95,189.32
06/04/85,190.04,190.17,188.92,190.04
06/05/85,190.16,190.91,190.16,190.16
06/06/85,191.06,191.06,189.19,191.06
06/07/85,189.68,191.18,189.56,189.68
06/10/85,189.51,189.64,188.89,189.51
06/11/85,189.04,189.54,188.79,189.04
06/12/85,187.61,188.99,187.61,187.61
06/13/1985,185.33,187.58,185.08,185.33
06/14/1985,187.1,187.1,185.35,187.1
06/17/1985,186.53,187.03,186.03,186.53
06/18/1985,187.34,187.59,186.59,187.34
06/19/1985,186.63,187.88,186.63,186.63
06/20/1985,186.73,186.73,185.98,186.73
06/21/1985,189.61,189.61,186.49,189.61
06/24/1985,189.15,189.53,187.9,189.15
06/25/1985,189.74,190.87,189.24,189.74
06/26/1985,190.06,190.19,189.56,190.06
06/27/1985,191.23,191.36,190.11,191.23
06/28/1985,191.85,191.85,191.1,191.85
07/01/85,192.43,192.43,191.18,192.43
07/02/85,192.01,192.51,191.89,192.01
07/03/85,191.45,191.95,191.45,191.45
07/05/85,192.52,192.65,191.52,192.52
07/08/85,191.93,192.43,191.31,191.93
07/09/85,191.05,191.93,190.93,191.05
07/10/85,192.37,192.37,191,192.37
07/11/85,192.94,192.94,192.32,192.94
07/12/85,193.29,193.29,192.67,193.29
07/15/1985,192.72,193.72,192.6,192.72
07/16/1985,194.72,194.72,192.72,194.72
07/17/1985,195.65,196.03,194.78,195.65
07/18/1985,194.38,195.63,194.38,194.38
07/19/1985,195.13,195.13,194.38,195.13
07/22/1985,194.35,194.35,193.6,194.35
07/23/1985,192.55,194.93,192.3,192.55
07/24/1985,191.58,192.46,190.71,191.58
07/25/1985,192.06,192.19,191.19,192.06
07/26/1985,192.4,192.78,191.65,192.4
07/29/1985,189.6,192.35,189.6,189.6
07/30/1985,189.93,189.93,189.31,189.93
07/31/1985,190.92,191.3,190.05,190.92
08/01/85,192.11,192.11,190.99,192.11
